Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-01,12.98293,77.59295,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-02,12.98303,77.59281,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-03,12.98305,77.59258,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-04,12.98294,77.59259,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-05,12.98293,77.59251,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-06,12.98283,77.59251,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-07,12.98275,77.59262,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-08,12.98274,77.59273,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-09,12.98284,77.59279,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-10,12.98275,77.59279,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-11,12.98276,77.59291,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-12,12.98278,77.59297,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-13,12.98263,77.59327,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-14,12.98259,77.59339,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-15,12.98255,77.59346,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-16,12.98258,77.59354,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-17,12.98237,77.59365,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-18,12.98236,77.59359,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-19,12.98241,77.59346,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-20,12.98242,77.59343,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-21,12.98253,77.59324,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-22,12.98258,77.59321,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-23,12.98295,77.59304,,,,,,,,
Mphasis,All India Radio,,East Zone,,,M-24,12.98295,77.59265,,,,,,,,
