SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
466	Wells Fargo	BDA Park (Opp to Arya Elegance)	12.8783069	77.5561912	BDA Park	12	Mar-26	South Zone		BBMP Parks
467	Wells Fargo	"BDA Park, Narayana Nagar, 3rd Block"	12.8787544	77.5576087	"BDA Park, Narayana Nagar, 3rd Block"	3	Mar-26	South Zone		BDA Parks
468	Wells Fargo	"BWSSB,Thathuguni"	12.8435863	77.5144946	https://maps.app.goo.gl/digC9xwcb1BZJRHh8	38	Mar-26	South Zone		BWSSB Dept
469	Wells Fargo	BDA Park next Anjanapura main road (Astreon technologies)	12.8741652	77.5606528	https://maps.app.goo.gl/fcADSe2o3jf6hfsu8	5	Mar-26	South Zone		BBMP Parks
470	Wells Fargo	BDA Park Anjanapura 2nd block	12.8658391	77.5529612	https://maps.app.goo.gl/4AXscrdxCHJcnozm9	3	Mar-26	South Zone		BBMP Parks
471	Wells Fargo	State Intelligence Training Academy SITA	12.8739018	77.5947872	https://maps.app.goo.gl/qepootv3341kynoP8	24	Mar-26	South Zone		Police campus
472	Wells Fargo	BDA Vidhyagiri Apts	13.0340928	77.7462623	https://maps.app.goo.gl/PGguXUNtAyAZpEng7	7	Mar-26	South Zone		BDA Parks
473	Wells Fargo	BDA Chandragiri Apts	13.0303048	77.749377	https://maps.app.goo.gl/gnePx1R9QpK3zRME6	12	Mar-26	North		BDA Parks
474	Wells Fargo	"Dommaluru Govt High-school, PU College and Degree College"	12.959693	77.6400645	https://maps.app.goo.gl/ceV2SAkbJCtMddmy8	14	Mar-26	East Zone		Schools and colleges
475	Wells Fargo	Basaveshwara High School	12.994668	77.5526517	https://maps.app.goo.gl/jbMCXrhDh1TJphYQ9	13	Mar-26	RR Nagar		Schools and colleges
476	Wells Fargo	NPKL Park-6-near STP 5	12.9061741	77.456324	https://maps.app.goo.gl/N1YVc3iXHpQ3Sdcx6	18	Mar-26	RR Nagar Zone		BDA Parks
477	Texas Instruments	BDA Park (Patel R.SrinivasaReddy Park)	12.9638378	77.6352848	https://maps.app.goo.gl/7X7Fp4tqG8VpjLm58	10	Mar-26	East Zone		BBMP Parks
478	Texas Instruments	Govt Urdu SchoolGovt Model Kannada Primary School	13.0061618	77.5944886	https://maps.app.goo.gl/W5fAHcXJCLpCBmA79	3	Mar-26	East Zone		Schools and colleges
479	Texas Instruments	Chacha Nehru park	13.0018898	77.5958687	https://maps.app.goo.gl/nAAXJwTBCaWgU4vM8	8	Mar-26	East Zone		BBMP Parks
480	Texas Instruments	ITI Park	13.0051792	77.603761	https://maps.app.goo.gl/6ib9dvRFqi4j8W6N6	4	Mar-26	East Zone		BBMP Parks
481	Texas Instruments	Ganesha Temple Park	13.0047132	77.6036351	https://maps.app.goo.gl/CsqHhnfm1vqzwoT6A	3	Mar-26	East Zone		BBMP Parks
482	Texas Instruments	Balappa garden BBMP park next to Ganesh Temple	12.9853613	77.6004951	https://maps.app.goo.gl/yAKF3Q8oAabyb6bq6 	4	Mar-26	East Zone		BBMP Parks
483	Texas Instruments	Tasker Town Park (Venkataswamy Naidu Park)	12.9843384	77.5987246	https://maps.app.goo.gl/RfdWpTuhKWVuH9Jd6	8	Mar-26	East Zone		BBMP Parks
484	Texas Instruments	Nttf Park	13.025931	77.5116974	https://maps.app.goo.gl/b8DFvXDEqJJwkd337	20	Mar-26	East Zone		BBMP Parks
485	Texas Instruments	PH Line Defence civilian Quarters	13.0562102	77.5216494	"https://maps.app.goo.gl/Kxm9beuzAZoF9r6t8
"	10	Mar-26	East Zone		Defence campus
486	Texas Instruments	Airforce West Gate	13.0614241	77.5234151	https://maps.app.goo.gl/rmKrPGjaQG2fR5vt7	30	Mar-26	Dasarahalli Zone		Defence campus
487	Texas Instruments	Airforce Jalahalli West Quarters	13.053795	77.531031	https://maps.app.goo.gl/GnfU9rWfdBM8Kwwd6	15	Mar-26	Dasarahalli Zone		Defence campus
488	Fidelity	"All India Radio, Chennai"	13.0388839	80.2771606	https://maps.app.goo.gl/3fN1QTPLte5v8Guw5	14	Mar-26	Teynampet-zone 09		Others
489	Broadcom_Brocade	NPKL Park Near Sri Dwarakamayi Sai baba temple	12.9048933	77.4321069	https://maps.app.goo.gl/AmvEdYuymgTkifpf7	30	Mar-26	RR Nagar Zone		BDA Parks
490	Broadcom_Brocade	NPKL Block 6 Near STP Bheemanakuppe Park-2	12.8983309	77.4405169	"https://maps.app.goo.gl/iBYKTug2Sm97FRSH7 
"	18	Mar-26	RR Nagar Zone		BDA Parks
491	Broadcom_Brocade	NPKL 6th Block park near STP-2	12.9009253	77.4398531	https://maps.app.goo.gl/RnCfaGNsN3E3wvKx7	1	Mar-26	RR Nagar Zone		BDA Parks
492	Broadcom_Brocade	NPKL 5th Block park near Shri Muthuraya Temple	12.8992347	77.4457423	"https://maps.app.goo.gl/TdWKQKCy89T6U1X59 
"	4	Mar-26	RR Nagar Zone		BDA Parks
493	Broadcom_Brocade	NPKL 6th Block park	12.908555	77.4422101	https://maps.app.goo.gl/epWPL2qpnxc41pCZA	4	Mar-26	RR Nagar Zone		BDA Parks
494	Broadcom_Brocade	NPKL 5th H Block nesr STP-5 Park-3	12.9062684	77.4541017	https://maps.app.goo.gl/zmucrvEKfrHRfKUK7	4	Mar-26	RR Nagar Zone		BDA Parks
495	Broadcom_LSI	KMF BULL MOTHER FARM	13.1715561	77.4839555	https://maps.app.goo.gl/hPVHnuUugySXnMGf6	55	Mar-26	Yelahanka Zone		Others
496	Broadcom_LSI	Banashankari 6th Stage 7th Block Park-1	12.8810554	77.5067049	https://maps.app.goo.gl/D6aECBsPiosWcdyr5	40	Mar-26	RR Nagar Zone		BDA Parks
497	Broadcom_LSI	NPKL Park (Near Shakthi Chowdeshwari Temple) Back side of Kannahalli lake	12.9640746	77.458268	https://maps.app.goo.gl/KVHrCKV6vqeVNCgc6	14	Mar-26	RR Nagar Zone		BDA Parks
498	Broadcom_LSI	NPKL Park near Kannahalli BDA Play ground	12.9635409	77.4620892	https://maps.app.goo.gl/J5CYGwkiXtS2PVuY6	10	Mar-26	RR Nagar Zone		BDA Parks
499	Broadcom_LSI	NPKL Block-1 Park Next to STP-1	12.9686923	77.4578648	https://maps.app.goo.gl/62LMwrcwBdYjNJxC7	4	Mar-26	RR Nagar Zone		BDA Parks
500	Broadcom_LSI	NPKL Block-1 Park Back side of STP	12.969002	77.457324	https://maps.app.goo.gl/x1ris51tq7do3jYFA	2	Mar-26	RR Nagar Zone		BDA Parks
501	Broadcom_LSI	ICAR-NIVEDI	13.1272059	77.5584508	https://maps.app.goo.gl/2nYD4L3Zp8naY6q87	15	Mar-26	Yelahanka Zone		Others
502	Broadcom_LSI	NPKL Layout Park - 5 near STP 5	12.9068288	77.4556733	https://maps.app.goo.gl/Fb3exmgCfrZ4HtdVA	14	Mar-26	RR Nagar Zone		BDA Parks
503	Broadcom_LSI	NPKL 7th Block Park-2	12.9223644	77.4432603	https://maps.app.goo.gl/NDDrt21JYDNHotoPA	4	Mar-26	RR Nagar Zone		BDA Parks
504	Broadcom_LSI	NPKL 7th Block Park-3	12.9225094	77.4456875	https://maps.app.goo.gl/WQDxGwiW3RaG8ehW9	5	Mar-26	RR Nagar Zone		BDA Parks
505	Broadcom_LSI	NPKL 5th H Block near STP-5 Park-3	12.9062684	77.4541017	https://maps.app.goo.gl/zmucrvEKfrHRfKUK7	24	Mar-26	RR Nagar Zone		BDA Parks
506	Broadcom_LSI	Jarakabande State Quarters	13.0611918	77.5345445	https://maps.app.goo.gl/r7EjVuFcnFyyFUoD9	54	Mar-26	RR Nagar Zone		Forest Dept
507	Broadcom_LSI	KMF Gate No-3	13.1835743	77.5033218	https://maps.app.goo.gl/F7JGeptqMMbyBM7E7	8	Mar-26	Yelahanka Zone		Others
508	Broadcom_LSI	KMF Gate No-5	13.1821052	77.5008251	https://maps.app.goo.gl/aVLPN3qwEe4MBp1x8	8	Mar-26	Yelahanka Zone		Others
509	Broadcom_LSI	"NPKL BDA Park Back side of BWSSB,Seegehalli"	12.9718351	77.446535	https://maps.app.goo.gl/TPGfNQnpzVEj46mW9	70	Mar-26	RR Nagar Zone		BDA Parks
510	Broadcom_LSI	NPKL 5th H Block near STP-5 Park-1	12.907164	77.4566939	"https://maps.app.goo.gl/TvZ2J9oDagTd3qAs5 
"	24	Mar-26	RR Nagar Zone		BDA Parks
